"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","last_update"
"Rose Medical Association Inc/Peoria","","209 West Romeo","B Garrett Boulevard","Peoria","IL","61605","6507","Peoria","309-686-1600","","","","http://www.rosemedical.org","40.694079","-89.59611","SA","2017-11-16 12:13:02.714"
"Human Service Center","Richard Pryor Place","130 Richard Pryor Place","","Peoria","IL","61605","","Peoria","309-639-3080","","","","http://www.hscpeoria.org","40.6897844","-89.6032733","SA","2018-05-21 16:25:15.375"
"IL Institute for Addiction Recovery","UnityPoint Health Methodist/Proctor","5409 North Knoxville Avenue","","Peoria","IL","61614","","Peoria","309-691-1055","","","800-522-3784","http://www.addictionrecov.org","40.7526017","-89.5940348","SA","2019-05-13 18:06:45.761"
"Gateway Foundation","Alc and Drug Treatment/Pekin","11 South Capitol Street","","Pekin","IL","61554","4106","Tazewell","309-346-7800","","877-505-4673","","http://www.gatewayfoundation.org","40.569745","-89.6486611","SA","2019-05-15 11:35:32.163"
"Chestnut Health Systems Inc","","1003 Martin Luther King Jr Drive","","Bloomington","IL","61701","","McLean","309-827-6026","","","888-924-3786","http://www.chestnut.org","40.4907531","-89.0219849","SA","2017-02-01 17:30:00"
"Heritage Behavioral Health Center","","40 Clinton Plaza","","Clinton","IL","61727","2100","DeWitt","217-570-0900","","217-731-4221","","http://www.heritagenet.org","40.1485932","-88.9763177","SA","2019-05-13 11:20:02.34"
"Institute for Human Resources","","310 East Torrance Avenue","","Pontiac","IL","61764","","Livingston","815-844-6109","","","","http://www.ihrpontiac.com","40.8664732193849","-88.6251195755004","SA","2017-02-01 17:30:00"
"Great Heights Family Medicine Ltd","","315 East McKinley Road","","Ottawa","IL","61350","4805","La Salle","815-434-0228","","","708-862-8156","http://www.great-heights.com","41.3234197","-88.8355221","SA","2019-05-13 11:09:20.17"
"A and E Behavioral Healthcare","Associates PC","2570 East Federal Drive","","Decatur","IL","62526","","Macon","217-872-1003","","","","http://www.aecounseling.com","39.8878096","-88.9195702","SA","2018-10-09 12:49:59.418"
"Family Guidance Centers Inc","","120 North 11th Street","","Springfield","IL","62703","1002","Sangamon","217-544-9858","","","","http://www.fgcinc.org","39.8023171","-89.6399113","SA","2019-05-13 18:00:02.386"
"Gateway Foundation","Springfield","2200 Lake Victoria Drive","","Springfield","IL","62703","","Sangamon","217-529-9266 x2670","Intakes","217-529-9266 x2606","217-529-9266 x2630","http://www.recovergateway.org","39.7591295","-89.6224794","SA","2019-03-18 08:58:21.287"
"Gateway Foundation","Springfield Outpatient","2323 Stevenson Drive","","Springfield","IL","62703","","Sangamon","217-529-9266","","877-505-4673","","http://www.gatewayfoundation.org","39.7582855","-89.622884","SA","2019-07-02 13:25:41.22"
"Cass County Health Clinic","","331 South Main Street","","Virginia","IL","62691","","Cass","217-452-3057","","217-452-3057 x1348","","http://www.casscohealth.org","39.9477052","-90.2127796","SA","2018-09-24 14:39:09.047"
"Rosecrance Inc","Moreland","2302 Moreland Boulevard","","Champaign","IL","61822","","Champaign","815-391-1000","","","","http://","40.1430733","-88.2501013","SA","2018-05-31 09:20:09.953"
"Carle Addiction Recovery Center","","204 West University Avenue","","Urbana","IL","61801","","Champaign","217-383-6039","","","","http://carle.org/MedicalServices/addiction.aspx","40.1167251","-88.2094816","SA","2018-03-09 11:51:08.581"
"Gateway Foundation Jacksonville","","1300 Lincoln Avenue","","Jacksonville","IL","62650","","Morgan","217-243-8849","","217-243-8849 x4132","","http://www.gatewayfoundation.org","39.7180884","-90.2470067","SA","2019-02-05 19:23:05.406"
"Sinnissippi Centers Inc","","2611 Woodlawn Road","","Sterling","IL","61081","","Whiteside","815-625-0013","","","800-284-7642","http://www.sinnissippi.org","41.8015978337459","-89.6662043295505","SA","2017-02-01 17:30:00"
"Sinnissippi Centers Inc","","325 Illinois Route 2","","Dixon","IL","61021","","Lee","815-284-6611","","","800-242-7642","http://www.sinnissippi.org","41.8225845","-89.5682071","SA","2017-07-31 12:09:38.519"
"Sinnissippi Centers Inc","Recovery Home","922 Washington Street","","Dixon","IL","61021","","Lee","815-284-6611","","","800-242-7642","http://www.sinnissippi.org","41.8590152","-89.4788327","SA","2019-02-04 16:02:16.872"
"Robert Young Center","","2701 17th Street","","Rock Island","IL","61201","5351","Rock Island","309-779-3000","","","","http://www.unitypoint.org/quadcities","41.4826277","-90.5706604","SA","2019-01-03 17:07:51.747"
"Kendall County Health Department","","811 West John Street","","Yorkville","IL","60560","","Kendall","630-553-9100","","","","http://www.kendallhealth.org","41.658233","-88.459601","SA","2017-02-01 17:30:00"
"Calumet Counseling and DUI Servs Inc","Mercy Medical and Weight Loss Center","187 South Schuler Avenue","Suite 100","Kankakee","IL","60901","","Kankakee","708-862-4054","","","","http://","41.1192518","-87.8644944","SA","2017-08-04 08:03:28.088"
"Holistic Science Pain Clinic LLC","","101 North 129th Infantry Drive","","Joliet","IL","60435","","Will","815-725-7200","","","","http://","41.5240095","-88.1519652","SA","2018-06-13 10:40:12.702"
